,0,1,2,3,4
0,itemid,item_name,description,userid,username
0,77,Faceted Skull Ring (US Size 10),"Instructions:
Set layer height to .1, 1 shell, .6 fill and 3 solid top and bottom layers on a desktop rep-rap style printer.  *Use No support and print at least 2 at once to avoid melting detail",21,Primitive Studio
0,80,Bushmaster IMV(HO/1:87 Scale),-,39,vrocksnow
0,81,UNI Necklace,"UNI necklace gets it inspiration from finnish word ""uni"", a dream. This a dreamlike, fascinating necklace has 2 different patterns on each side. The double faced necklace has 300 separate moving parts and two distinctly unique sides that allow the wearer to express a different mood for different occasions.",41,Salokannel
0,82,Hipster's Dream Case (iPhone 5),"This is a snap case designed for the iPhone 5.
Hipster's dream: Alone on the deck smoking pipe. Fog and smoke makes a dizzy feeling... a bit cold, but proud. You hear the most beautiful song ever heard. A song no one heard before. You start to see an amazing seen unfold. You're not sure yet what it is but you know you love it. You see some figures that are the most beautiful creatures you've ever seen. Sirens, you're amazed. But suddenly, from the middle of nowhere, a storm grows and the ship crashes to the rocks...an alarm awakes to reality, you're awake. But no worries it's a brand new day...",41,Salokannel
0,87,Mini Ping Pong Paddle,"If you have a clear flat coffee table and a couple of ping pong balls, you can use the Mini Ping Pong Paddle to have epic mini ping pong matches!
Set the Layer height to .3 or thinner, 1 shell and 4 layers on the top and bottom for a rep-rap style printer.  File down the pins for a tight fit and super glue the parts together.  If you are good at welding you can weld the edges with a soldering iron for an unbreakable bond. 
Have Fun!",21,Primitive Studio
0,104,Amazing Fractal Bulb,Pseudo-Kleinian Fractal sculpture,55,993
0,110,eygenia,pendant/earring,110,melko
0,115,ASLAV-25 TYPE 1(HO/1:87 Scale),-,39,vrocksnow
0,130,RockStone Ring (Size 6),"RockStone is a ring with passion. The frame looks like it has frozen the time and captured those spikes towards your finger. Feels like something is happening, but it's only captured in one frame - in a moment. Designed in Finland, made for you. This ring is size 6 (16.5 mm).
Find more sizes here: 
Size 7: https://pinshape.com/items/131-3d-printed-rockston...
Size 8: https://pinshape.com/items/132-3d-printed-rockston...",41,Salokannel
