,0,1,2,3,4
0,itemid,item_name,description,userid,username
0,77,Faceted Skull Ring (US Size 10),"Instructions:
Set layer height to .1, 1 shell, .6 fill and 3 solid top and bottom layers on a desktop rep-rap style printer.  *Use No support and print at least 2 at once to avoid melting detail",21,Primitive Studios
0,80,Bushmaster IMV(HO/1:87 Scale),-,39,gvrocksnow
0,81,UNI Necklace,"UNI necklace gets it inspiration from finnish word ""uni"", a dream. This a dreamlike, fascinating necklace has 2 different patterns on each side. The double faced necklace has 300 separate moving parts and two distinctly unique sides that allow the wearer to express a different mood for different occasions.",41,Salokannel
0,82,Hipster's Dream Case (iPhone 5),"This is a snap case designed for the iPhone 5.
Hipster's dream: Alone on the deck smoking pipe. Fog and smoke makes a dizzy feeling... a bit cold, but proud. You hear the most beautiful song ever heard. A song no one heard before. You start to see an amazing seen unfold. You're not sure yet what it is but you know you love it. You see some figures that are the most beautiful creatures you've ever seen. Sirens, you're amazed. But suddenly, from the middle of nowhere, a storm grows and the ship crashes to the rocks...an alarm awakes to reality, you're awake. But no worries it's a brand new day...",41,Salokannel
0,87,Mini Ping Pong Paddle,"If you have a clear flat coffee table and a couple of ping pong balls, you can use the Mini Ping Pong Paddle to have epic mini ping pong matches!
Set the Layer height to .3 or thinner, 1 shell and 4 layers on the top and bottom for a rep-rap style printer.  File down the pins for a tight fit and super glue the parts together.  If you are good at welding you can weld the edges with a soldering iron for an unbreakable bond. 
Have Fun!",21,Primitive Studios
0,104,Amazing Fractal Bulb,Pseudo-Kleinian Fractal sculpture,55,bib993
0,110,eygenia,pendant/earring,110,melkon
0,115,ASLAV-25 TYPE 1(HO/1:87 Scale),-,39,gvrocksnow
0,130,RockStone Ring (Size 6),"RockStone is a ring with passion. The frame looks like it has frozen the time and captured those spikes towards your finger. Feels like something is happening, but it's only captured in one frame - in a moment. Designed in Finland, made for you. This ring is size 6 (16.5 mm).
Find more sizes here: 
Size 7: https://pinshape.com/items/131-3d-printed-rockston...
Size 8: https://pinshape.com/items/132-3d-printed-rockston...",41,Salokannel
0,131,RockStone - Size7,"RockStone is a ring with passion. The frame looks like it has frozen the time and captured those spikes towards your finger. Feels like something is happening, but it's only captured in one frame - in a moment. Designed in Finland, made for you. This ring is size 7 (17.3 mm).
Find more sizes here: 
Size 6: https://pinshape.com/items/130-3d-printed-rockston...
Size 8: https://pinshape.com/items/132-3d-printed-rockston...",41,Salokannel
0,132,RockStone Ring (Size8),"RockStone is a ring with passion. The frame looks like it has frozen the time and captured those spikes towards your finger. Feels like something is happening, but it's only captured in one frame - in a moment. Designed in Finland, made for you. This ring is size 8 (18.2 mm).
Find more sizes here: 
Size 6: https://pinshape.com/items/130-3d-printed-rockston...
Size 7: https://pinshape.com/items/131-3d-printed-rockston...",41,Salokannel
0,133,Stripes Case (iPhone 4),"This is a snap case designed for iPhone 4/4s. Stripes are statement! Like in fashion stripes have always give strong message from it's owner. Scotch have it as national pattern, punks have also adopted them and it's basically always in fashion. Be proud and show it for the others! Designed in Finland, made for you.",41,Salokannel
0,134,Anchor - Coat rack,ANCHOR your coats! It uses classical benefits of 3d-printing with a simple design and idea. This version of coat rack is 25cm long. It includes half chain part in the end which you can screw to the ceiling or wall.,41,Salokannel
0,137,ACCO 2 1/2 ton GS(HO/1:87),Australian Army ACCO 2 1/2 ton GS(HO/1:87),39,gvrocksnow
0,139,B5 Omega Class,B5 Omega Class,39,gvrocksnow
0,140,B5 Nova Class,B5 Nova Class,39,gvrocksnow
0,141,B5 Sharlin,B5 Sharlin,39,gvrocksnow
0,142,B5 Thunderbolt,B5 Thunderbolt,39,gvrocksnow
0,143,Breenship,Breenship,39,gvrocksnow
0,144,BSG Berzerker,BSG Berzerker,39,gvrocksnow
0,145,BSG Galactica,BSG Galactica,39,gvrocksnow
0,146,BSG Pegasus,"BSG Pegasus
pictures are of the design printed in alumide.",39,gvrocksnow
0,147,BSG Valkyrie,BSG Valkyrie,39,gvrocksnow
0,148,Bush Fire Brigade Truck(HO),Bush Fire Brigade Truck(HO/1:87 Scale),39,gvrocksnow
0,157,The Fight,"This is a 3D print of a drawing & sculpture that I did before I went to the dark side and became a techno dweeb. It's nice getting back into the artsy fartsy world. And now, with the 3D printer, I'll be modeling and printing several of my original pieces.",208,vrhax
0,158,GoPro Hero Picavet Kite Mount,"Although this picavet kite mount with captive pulleys for the GoPro Hero 3/3+ is designed for kite aerial photography as described on the Berkely KAP page (see http://www.arch.ced.berkeley.edu/kap/equip/picavet.html), it can be used for other applications requiring suspended rigging. Such as, for example, hanging your camera from a sailboat halyard. ",208,vrhax
0,159,Minbari Fighter,B5 Minbari Fighter,39,gvrocksnow
0,162,bulldog XXL size,Printable in multicolor,219,miss3
