,0,1,2,3,4
0,itemid,item_name,description,userid,username
0,15500,hooks for Christmas ornaments,I need it for decorations.,41796,marko_vulić
0,15501,Rabbit Low Poly,"Art sculpture of an rabbit in low poly
Layer height: 0.1 - 0.3 mm 
Infill: 10 - 20 %
Speed: 50 mm/s
Supports: yes",20600,trillius
0,15503,Darth Malgus Lightsaber,Toy for 3d print Lightsaber buy a sword Jedi do not miss ignite and chop enemies in cabbage,26155,Sergey Kolesnik
0,15504,AG Thumb Sticks (Taranis/Spektrum),"The stock sticks on a radio (both the DX8 and Taranis) don't cut it for me. The biggest problem I have with them is that they are too thin and don't grip on my thumb and index finger. There are two types of pilots: thumbers and pinchers. I have been both, and the stock sticks don't help either of these styles of flying. There is definately room for improvement.
The AG Thumb Sticks grip your thumb, and the index finger rolls nicely in the groove. Once you try them, your race lap times will be faster. Highly recommended upgrade to your original sticks.
I have personally tested them on a Taranis, DX8 and DX9
You can choose either the plain sticks (""AG Thumb Stick_noLOGO"") or the one with the letter ""A"" logo (""AG Thumb Stick_withLOGO""). The plain version feels smoother on the finger tip, but the LOGO version provides better grip.
I like both versions. For my flying style, I used the plain stick on the left (throttle) stick. And I used the LOGO stick on the right (cyclic) stick.
UPDATE:
People asked me for a shorter version than the original ones I uploaded. So I've uploaded another STL file called ""AG Thumb Stick_shortversion"". It's good for pilots who prefer a longer throw. Shorter sticks gives you less sensitive movement... and longer sticks makes it more agile. For FPV racing, I prefer to be able to cover the full range of stick movement quickly and with ease (I find loosening the gimbals so there is less tension helps too) that's why I prefer the original length of AG Thumb Sticks. (the original length also gives a more comfortable space for your index finger)
Where I do prefer this shorter version is when you fly with just your thumbs. I still fly helicopters this way, and find the shorter version is much better for this type of flying.
----------------------------------
FREE VERSION for my design is ALWAYS
available at
http://www.thingiverse.com/thing:1209290
The Pinshape version is ONLY available
for people wanting to contribute back to
the design. Every little bit helps, and
is greatly appreciated.",31785,Antigravity Racing
0,15505,Teak Temple - Wat Pan Tao,"Welcome to Chiang Mai, Thailand! 
This temple fully built with teak dates back to the 14th century! Set in a compound full of fluttering orange flags, the monastery is a monument to the teak trade, with an enormous prayer hall supported by 28 teak pillars and lined with dark teak panels, enshrining a particularly graceful gold Buddha image. The juxtaposition of the orange monks' robes against this dark backdrop during evening prayers is particularly sublime (Lonely Planet, http://www.lonelyplanet.com/thailand/chiang-mai-pr...
Printing recommendations: • Use the highest quality possible for better results (0.1mm layer) • Support Free • Note: This model has high level of small details, so that when printed in a bigger scale (2:1, 3:1, etc.) or in resin or powder technologies these details are preserved. All details might not be printed correctly in 1:1, FDM. 
All my things I model myself by hand and brain, please give credit. It's all about spreading culture!",4606,MiniWorld
0,15507,Modern Combat 5 - Sticky Mine,"I love to play Modern Combat 5 Blackout on my mobile phone. And recently got into Airsoft and wanted to make a stick mine based off the game that I could use for Airsoft. So here it is. Also included is a PAL/MOLLE plate to magnetically mount to a chest rig or other compatible components.
Included are there files. The Sticky Mine plain and one with large built in brim for ABS printing (only way I could get it to print without warping), and the PAL/MOLLE rig mount.
I used these magnets to stick to metal and to rig mount, but most 1/2"" Neodymium Rare-Earth Magnet Discs should work. 
Magnet Qty-4 for the Sticky Mine  
Magnet Qty-2 for the rig mount.
You may also noticed in the picture of the bottom I used a stick pad so that this sticky mine truly sticks to anything. While not required it makes the mine truly sticky.
Please use/print responsible. While this is a toy, it may appear real to many people. Do not attempt to place or handle in public but only under the care of a mature adult in a mil-sim environment. ",957,mtnbiker
0,15508,Turning gears with base... low-volume version,"This is a much lower-volume version of my original design.  The base has hollowed-out sections on the bottom to reduce filament use, and those sections have rounded corners to reduce jogging stress on your machine while printing.  (Sharp corners are harder on CNC machines than nice, gentle ones.)  The mounting posts have also been changed to a much larger diameter, and have a 0.1"" hole for a wood screw and large washer to hold the gears in place.  The walls of the gears are only 0.8mm thick (twice the size of my nozzle), to reduce printing time and filament use, but the bottom side of the gears is 0.5315"" thick for strength and stability. This model is also a bit smaller than my previous one, and was made specifically to fit on my 7.8"" x 7.8""  print bed, with a bit of room to spare.   Also, you might notice that I made one gear shorter than the other on this model.  This required tweaking the twist radius of the extrusion, in order for the gears to mesh properly... but I thought it added a nice touch.  My printer is very busy right now, or I'd be printing this object... but I will post images of it, once I'm able to print it.",42442,clint_campbell
0,15509,Model Paint Tray for Testors 1/4 fl oz Bottles,Just needed one :),42601,Arjen Jonkhart
0,15510,Santa's New Sleigh,"Santa’s New Sleigh (by Richard Swika)
Santa’s reindeer retired,
No longer up to the task,
Old they still could fly,
Just not very fast.
They’d sometimes get lost,
Or misplace their antlers,
“We don’t use reindeer anymore,
Drones can get there faster”.
And as you know,
Tardiness is NOT fine,
Santa can’t be late,
He’s always on time.
And so it was proclaimed and agreed,
An executive order,
From the head elf indeed!
“Elves, go to the garage and build a new sled,
Pulled by 8 powerful pistons instead.”
“Fuel it with nitrous,
Gas, nog, and wi-fi,
Make sure it can drive,
It can ski,
And of course,
It can fly.”
“It must go supersonic,
Then turn on a dime.
And be nimble enough,
To land on a pine.”
“The sleigh must be warmed,
With a nuclear heater,
So no matter how cold,
It’ll melt through the snow,
In any bad weather,
With just the nose glow,
That way the sleigh’s,
Always ready to go.”
“It has to be able,
To shrink and to grow,
To any size Santa’s needs,
On his job while he goes.
He might need it small,
To fit through a crack.
Or as large as the moon,
To go very fast.”
No danger or doubt,
Come snow, hail, rain or ice,
Making deliveries for Santa,
Now will be very nice.
By 3D printed contraption,
On Christmas Eve night,
Circumventing the globe in your new sled Saint Nick,
Have a wonderful flight!
Message from Richard
Some of my fondest memories revolve around building of plastic models, always received in ample supply as Christmas gifts as a kid. I hope this model brings the same joy of the holidays to you and your family. I really enjoyed working on this project and I hope you have a great Christmas. Happy Holidays!
Organized into build plates by color, so you can build this model without painting. Requires little support and clean up. There are assembly tabs and guides on most parts, making it a fun and easy build. Once printed, everything goes together fast with super glue.
Assembly Instructions
Interactive Assembly Animation on Sketchfab
Assembly Sequence on Youtube
You’ll build this model just like the elves did in Santa’s shop, starting with the frame rails and working your way up. You’ll build and install a detailed V8 engine, powertrain components, front end, ski, sleigh, stand, and Jolley ol’ Saint Nick himself. The whole kit contains over 80 detailed parts. Everything is modeled right down to the bolts on the engine parts, to Santa’s eye brows. All of the parts were designed from scratch for successful 3d printing and ease of assembly.
Includes tested S3D factory files for each build plate, optimized, tested and proven to produce beautiful results on typical home 3D printers.
Printing
I developed and tested the project using S3D and have provided the factory files containing all of the settings and support you need for a successful print in ABS. You will have to adjust the settings for PLA, PET, and so on. The plates are designed to print in a few hours each, on average.
For other slicers, I’ve provided stl files for each build plate. You’ll need to add support as needed. Please see the parts list for guidance. ",17368,richard_swika
0,15511,CatLamp_CicaLampa,"My First desk lamp shaped a cat.
Very easy to print and assemble. Can sit, lying ect...
IMPORTAN NOTICE be very carefull when do wiring!!! Always shield the wires and please use LED bulb.
Items need for assemble: 1 screw M4 50mm (back) 1 screw M4 60mm (front) 2 bolt M4 or wing nut 1 GU10 lamp socket. (http://www.ebay.co.uk/bhp/gu10-lamp-holder) 1 wire connector 1 GU10 LED lamp 1 wire with switch and plug 3 screw nail (10mm) (two for the GU10 socket one for the neck) Super Glue
The back and the shoulder have to be glued together. GU10 socket hav e to be secured with two screw nail and the wires goes throu the little holes. Put the connector on the back of the socket plate. Glue the head back to the head. You can put the screw nail into the neck from inside the head, maybe you can drill a hole to help it. Little tricky but if you put a washer uner it it can be easily tightened. If you hold vertically the head and put the bulb in it you can find the holes for the GU10 socket. The shoulder shoud make the legs spread a bit for stability.",10262,szkrisz
0,15512,Birdhouse in tree,the branches are very thin indeed,26223,tigerklaue
0,15513,star child,very pretty and fine picture,26223,tigerklaue
0,15514,Deer in the snow,really frosty with icicle in the picture,26223,tigerklaue
0,15515,winter church houses,very nice thin picture,26223,tigerklaue
0,15516,Christmas tree,Printed Christmas Tree in two colors,26223,tigerklaue
0,15517,Snowman with tree,the Snowman makes you shine,26223,tigerklaue
0,15518,snowflakes,again a very nice two-color image,26223,tigerklaue
0,15519,girl with bear,"kids will love it
just sweet",26223,tigerklaue
0,15520,Child Star,beautiful decoration for hanging,26223,tigerklaue
0,15521,Deer with snowflakes,very nice christmas decoration,26223,tigerklaue
0,15522,Christmas apple decor,small apple as a decoration for windows or in the Christmas tree,26223,tigerklaue
0,15524,spin the shot,"A fun game to get an great evening started!
You twist the arrow and wherevere the arrow points has to drink. This game of chance is exeting and fun and it looks great as well. The game is diplayed with a long (double) shot glass but every shot glass will do.
here is a video to see it in action. https://www.youtube.com/watch?v=Q3cJfXjhl08
Example printed in PLA extrusion head: 0.4mm 
You have to connect the 3 different parts with a bolt M3 with a countersink head and an M3 nut that you can find in any hardwareshop.",46095,seafoxc
0,15525,Dragon-Head Extruder Cover for Zortrax M200,"My love affair with Robwzor's GlowaSmoka continues.
I wanted my Zortrax M200 to have a dragon figurehead, but didn't want it to block the temperature-indicating light from my Z-Temp, so I printed the extruder cover in Taulman Blu-Print, which has good transparency, easy support removal, and a nice silvery sheen. I printed it without infill in order to maximize light transmission, and I'm pleased with the result.
Cycling through the colors on power-up:
https://youtu.be/o--cryzHawg
Printing at around 215ºC:
https://youtu.be/Uzsbo2IqCjI",44418,julia
0,15526,Arris X-Speed legs,small legs that allow enough space for a 4S 2200 battery mounted under the frame,46578,vapor83
0,15527,napkin holly ring,"Especially designed for Christmas , to hold rolled napkins on our Christmas table",27604,Macone1
0,15528,BB8,"The force awakens… this BB-8 model can stand on his own!
The body is divided in two and changing the infill in the two sides will make him stand on the heavier side. I used 5% in the light areas and up to 50% and more in the lower and heaviest part. Two magnets link the head to the top.
The 9 files composing this model are conceived especially for FFF/FDM 3d printers, all objects are manifold and watertight, all intersections were created with boolean operations and the model was subdivided in pieces and pre-orientated in the print bed to have the less possible amount of support material.
This design is protected under International Law through a ""BY-NC-ND: Attribution - non-commercial -no derivatives"" Creative Commons License. That means that purchasers cannot distribute or sell, neither the digital design nor the printed items made from the design. Buying this design gives you a non-exclusive agreement to print it in your own printer and for your own use, as given by the license.
The CC License is the default copyright for this design, UNLESS you have a separate business or commercial agreement with me, the copyright author of the design. For commercial inquiries or for commissioned work please contact me by visiting www.maocasella.com. Thank you very much!",1234,Mao
