,0,1,2,3,4
0,itemid,item_name,description,userid,username
0,17396,Lithuania countryball,"Lithuanian countryball model.
This countryball model designed with national signs. We designed this cute ball for friends.
It had a great success, so we decided to share it with you.
If you have a request we can perform for you.
Thank you.",30817,Ryšard Poplavskij
0,17397,Front Panel Cover for Dell precision,"Subtitute for original front panel cover. Fits 490, 690, Т5400 Т3500, T7400, etc...
These are ABS made, but if You want to avoid warping drama use PLA.
0.1 mm layer for the bracket and 0.1 or 0.2 for the grill. 30-60% infil for the bracket and 15-25% for the grill. Things are in correct positions for printing. Support needed only for the bracket (not necessary - did 2 of these without support). Grill has build-in one.",41255,TRENDi77
0,17398,Claire Redfield - Resident Evil - Pose01,,55431,solid
0,17399,Claire Redfield - Resident Evil - Pose02,"3D-printable model of Claire Redfield from Resident Evil. This is Pose02, I've uploaded Pose01 here too.
Print with Support Settings in Cura, 50 angle degree worked fine for me. Always check the layer view before printing to make sure everything looks alright.",55431,solid
0,17400,Mustang P-51 small model,"A P-51 Mustang Scale model. Reduced Detail for 3D printing/ Rotating Propeller.  
Designed in Autodesk Maya. My printer is not a high performance printer, so, do not get discouraged from my printed model. 
The Model body is divided into 2 parts for ease of printing. The Spinner is also divided into 2 parts because of the propeller blades. Attach the propeller base to the propeller using Super Glue. Insert the propeller in one half of the body and glue the 2 half's of the body together.
Now you should have a complete Mustang with a rotating propeller.
Hope you enjoy.
Thanks",60930,Razgrizzz
0,17401,Handicapped Logo,"A small Handicapped Logo that, as a dispabled person, I have on my backpack.",43874,MassCoyote
0,17402,"Salt container, Silo or sugar","Container,  Silo, Dispenser for Salt or sugar. ",39541,metall
0,17403,OWL CLOCK with moving eyes,"I wanted an owl clock with moving eyes, so I designed one.
I used this ring model as my base design
 http://www.thingiverse.com/thing:381615
You will need a battery powered clock with a pendulum 
( or just glue the eyes in place for a clock without a pendulum)
This model is sized for a clock with a minute hand measuring 53mm
I tried uploading a .3df file showing all the pieces in place and colour coded, but it's not a format that's accepted",20942,atarka
0,17404,"Deadpool ""Feel The Love"" Magnet","The Deadpool Movie is released! And the Valentines’ day is coming! What could be a better present for the loved one these days, than a Deadpool ""Feel The Love"" Magnet?
This magnet was inspired by “Pikabu Cookie” concept
The magnet could be bought on Amazon, “first4magnets F309-10 15 mm Diameter x 1 mm Thick N42 Neodymium Magnet” would fit just well.
Feel free to download, print and share with your friends. Hope you’ll like it ;)",61323,PS
