,0,1,2,3
0,itemid,item_name,description,username
0,2,MakerBot Screwdriver,"It's a small screwdriver, extruded as a single piece. Probably no good for heavy jobs, but still handy (Did you know that the Phillips-head screwdriver was named after the legendary Crafty King Phillip of ancient times, whose sons went on to invent the bandsaw and the pre-sliced banana? Although, now that you look, this screwdriver is a Flathead. Never mind.) ",replicator
0,3,MakerBot Plate,"It's an oblong sheet, about four inches long, slightly flared at the ends. You're not sure what its purpose is. One face is decorated with strange ridges, and the whole is pierced by several square holes, irregularly placed Attractive, though, isn't it? Sort of like a butterfly. ",replicator
0,5,MakerBot Hook,It's a double-ended hook. Rather like a shower curtain hook This might come in handy if you need to hang your MakerBot mug from the ceiling. ,replicator
0,7,1st stellation of a dodecahedron,"This is a slot-together model of the first stellation of a dodecahedron.  The slot sizes are appropriate for ""172"" illustration board, but you can scale the pieces to construct this model out of other materials You'll need to cut 60 large triangles and 90 small tabs, as detailed by the text in the file.  Assembly is straightforward; refer to the pictures for details. ",phooky
0,8,MakerBot Knob,"This is a small, slightly blocky knob, rather like a faucet knob. It has three flanges, no doubt to offer a better grip. In the center of the knob is a small pentagonal hole Will be very useful if you have a small pentagonal water faucet! ",replicator
0,13,MakerBot Key,"It's a strangely crooked key ""There was a crooked man, and he built a crooked house..."" ",replicator
0,16,Flat Glasses,"This is a design for two sunglasses. This is my 3rd revision of these glasses I lasercut them out 1/8th inch optik acrylic. Then I used a torch to heat up the corners and bend the sides.I found some craft foam from the craft store and cut out strips to pad the nose section and ear sections.These have not been tested for UV blocking or shatterproofing, so make these at your own risk. ",bre
0,17,Flatpack Bunny,"I created this bunny to be lasercut out of 1/8th inch white acrylic. It's a bunny that can hold a flower or a baby bunny!Embedded in it's head is a stopwatch, you can leave it in it's head or take it out and make a little necklace for the bunny Gently rock all the pieces back and forth to free them from their plastic prison. Then assemble them!Photo by http://leahpellegrini.etsy.com. ",bre
0,18,Flatpack Monkey,"This is the first of my flatpack action figures. I've made lots of prototypes so that the tolerances are really tight and they basically snap together. If by chance you force it to much and it breaks, it is easy to fix it with a drop of superglue.The MK-1 is a monkey on a mission to defeat the evil kitten empire.With cymbals to clang and a knife and fork to eat with, the MK-1 is accessorized to make some noise and eat some dinner.A prehensile tail means that it can carry the accessories in it's tail too!One very special thing about this monkey is that you can hold it up to the light to see the skull inside it's head.These are not for small children because they have small parts that are rather sharp I made a comic book for instructions!  Download it below!Also watch Leah Pellegrini's awesome video. http://flickr.com/photos/leahpellegrini/2900496918/ ",bre
0,20,Chess Set,This is a vector file for cutting chess pieces on a cnc machine or laser cutter.  ,adamcecc
0,21,MakerBot Coin,"This is a flat coin or token. It's pierced by an intricate pattern of slits Buccaneer MakerBot Blacknoodle says, this could be useful as an eye patch! Maybe. ",replicator
0,31,2nd stellation of the dodecahedron,"This is the second stellation of the dodecahedron.  Instructions are embedded in the .dxf file.  Structurally, this stellation is not as solid as the first stellation, but it's still reasonably sturdy. ",phooky
0,32,Laptop Stand with steampunk gear design,"The other day while hacking at NYC Resistor, I realized I was getting a crick in my neck sitting hunched over at my laptop. I needed some sort of laptop stand to get the screen up higher, and one that I could get my external keyboard under so my computer wasn't too far away. I'd never seen exactly what I was looking for, so I figured I'd whip one up!A little while later, with some help from Inkscape and our Lazzzor, I had this laptop stand.Because the stand is made from 3 flat pieces which you can take apart, it's extremely portable and light You'll need 2 of the larger ""arm"" piece, so don't forget to make a mirror of the top piece when you cut this design. ",ericskiff
0,34,Icosahedral radiolaria,"This is a ""radiolaria"" sculpture roughly modeled on the drawings of Ernst Haeckel.  It has simple icosahedral symmetry, with thirty ""spines"" radiating from the edges The slots have been designed to accept 1/8th inch acrylic.  The fit can be a little loose (not the least because acrylic sheet tends to have a little variation in thickness), so I recommend using some acrylic adhesive to hold it together when you're done.As with all acrylic sculptures, this will be a bit brittle when assembled; try not to drop it too far.  Mine is suspended from the ceiling. ",phooky
0,35,Hack a Day logo,Hack a Day skull and wrenches logo for use on your thing. DXF provided by http://www.loopymind.nl/ ,eliot
0,36,Minimug,"The minimug is the standard RepRap test object.  A small, shot glass sized cylinder that hopefully gets printed as a watertight part which you can toast with Print with your RepRap machine. ",hoeken
0,37,Lazzzor Glasses,"Making sunglasses on the lazzzor is fun.  All you need is some acrylic and a design.  Here's my take on it.  It even has hinges!Instructionslaser the design (1/4"" acrylic)attach the hingespimp. ",hoeken
0,38,T-Slot Cleaner,A simple plastic tool for scraping swarf out of t-slots in a milling machine bed or a lathe cross slide. It is for slots that are 16mm wide and 6mm high Print it on a RepRap and then use it. ,nophead
0,39,My Flexicard,"A handmade flexagon using Adobe Illustrator, an Epson Stylus Photo 1280, and a Graphtec Craft RBO Pro Details too lengthy for this space. ",nycdesigner
0,45,LED Array Card,LED Array Card.  Included is the DXF I used for making the laser cut faceplate.  Worked with 3mm LEDs and a ratshack throughhole board.  There's a cutout for the boarduino as well as accompanying capacitors.Enjoy!InstructionsPretty straightforward until I can throw up a wiring diagram. ,openfly
0,46,Gear,Here is a basic gear in 3D.  Enjoy!InstructionsPrint it with a RepRap. ,hoeken
0,47,Wineglass,"This is a small, simple wineglass designed by Vik Olliver Print it with your RepRap and have a toast! ",hoeken
0,48,RepRap Power Ring,"When you wear this ring, you can feel the power of Rapid Prototyping flowing through your body.  This excellent design ring was designed by Wade BortzInstructionsPrint it with your RepRap machine, paint it, and wear it proudly! ",hoeken
0,49,Coat Hook,"Here is a handy coat hook you can print out and use to hang your coats on!  This file was designed by Adrian Bowyer Print it out on your RepRap machine, screw it to a stud in your wall and hang your coats on it. ",hoeken
0,50,Door Handle,"This is a replacement door handle.  If your door handle falls off, or you simply dont like it, then you can easily make your own replacement, instead of buying one!This door handle was designed by Adrian Bowyer Print it on your RepRap, and attach it to your door handle post. ",hoeken
0,51,RRRF Logo,This is the logo of the RepRap Research Foundation.  Yay!InstructionsPrint it out and show your support for the RRRF. ,hoeken
0,52,DIY iPhone stand...,"If you have an iPhone and watch long movies (usually from ripped DVDs) leaving the phone in the dock doesn't cut it, the iPhone needs to be horizontal. I usually have CNN, ABC or a few hours of news on my phone and like to leave it on my desk while I work but you can't watch these in the dock since it's turned the wrong way. Long plane / train trips with a tray made me want to make this too.So - here's an iPhone stand I made, you can take the file to a place like TechShop in SF or anywhere there's a high powered laser that can cut acrylic. Believe it or not there are lots of these lasers in most cities, definitely at a lot of campuses now too. Universal and Epilog are usually the only two brands you'll come across.I figured this is a good beginner project for getting starting with your own little ""FabLab"" like project. Variations on this model will work with other phones too, all depends on the size and dimensions of your phone of course.I made this stand as a snap-to-together / press fit and it can be reproduced cheap, if anyone designs a better version send me the file and I'll post it up here on MAKE. I put a hole on each leg so the USB cable could fit through, it seems to be a better way to hold the sync/power cable.Here we go... Get some acrylic, I bought a sheet of 12"" x 12"" clear acrylic (1/8th"" thickness). You can get these sheets at local plastic stores in most big cities or online - Link (McMaster-Carr $6.48). Cast (not extruded) tends to be more scratch resistant and better for projects like this.Download this file, it's an Adobe Illustrator file (black and white vector line art, included are other formats if needed) - Link (ZIP with AI//CDR/DXF). If you want to make a lot of these just copy and past the 2 shapes over and over instructions can be found here...http://blog.makezine.com/archive/2007/09/how_to_make_an_iphone_sta.html ",ptorrone
0,53,Planetary Gears,"This is a quick drawing I made of some planetary gears.  We're trying to make some gears for our logo, and hopefully these will do the trick Laser cut each gear, or just etch them onto something. ",hoeken
0,54,Danger Shield v1.0,This is a shield for the Arduino microcontroller board that has all sorts of fun do-dads to hack on:3 x linear sliders w/ integrated LEDs (each independently hooked up to PWM)3 x pushbuttons2 x indicator LEDs (each with a PWM)1 x piezo buzzer (for making noise!)1 x temperature sensor1 x light sensor1 x knock sensor1 x 7 segment LED (with shift register)power LED and reset buttonMore info at: http://www.zachhoeken.com/danger-shield-v1-0InstructionsAssembly and usage info is at: http://www.zachhoeken.com/danger-shield-v1-0 ,hoeken
